,Statistic,P-value
ACSA_MLP_vs_Random Forest,0.0,0.001953125
ACSA_MLP_vs_XGBoost,0.0,0.001953125
ACSA_MLP_vs_LightGBM,0.0,0.001953125
ACSA_Ensemble Neural Network_vs_Stacking,0.0,0.001953125
ACSA_Ensemble Neural Network_vs_Random Forest,0.0,0.001953125
ACSA_Ensemble Neural Network_vs_XGBoost,15.0,0.232421875
ACSA_Ensemble Neural Network_vs_LightGBM,0.0,0.001953125
ACSA_Stacking_vs_Random Forest,0.0,0.001953125
ACSA_Stacking_vs_XGBoost,0.0,0.001953125
ACSA_Stacking_vs_LightGBM,0.0,0.001953125
ACSA_Random Forest_vs_XGBoost,0.0,0.001953125
ACSA_Random Forest_vs_LightGBM,0.0,0.001953125
ACSA_XGBoost_vs_LightGBM,0.0,0.001953125
